Rank,Region,Score,GDP,Social,Healthy,Freedom,Generosity,Corruption,Area,Population,Continent,Ocupation,Latitude,Longitude
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,64589.0,1926542,EU,29.82771060087631,56.879635,24.603189
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.055999999999999994,98480.0,51635256,AS,524.3222583265638,35.907757000000004,127.766922
55,Estonia,5.893,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001,0.161,45226.0,1320884,EU,29.206297262636536,58.595271999999994,25.013607
56,Jamaica,5.89,0.831,1.4780000000000002,0.831,0.49,0.107,0.027999999999999997,10991.0,2934855,NT,267.023473751251,18.109581,-77.297508
57,Mauritius,5.888,1.12,1.402,0.7979999999999999,0.498,0.215,0.06,2040.0,1265303,AF,620.246568627451,-20.348404000000002,57.552152
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,377835.0,126529100,AS,334.8792462318208,36.204824,138.252924
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.24600000000000002,0.078,112090.0,9587522,NT,85.53414220715497,15.199998999999998,-86.241905
60,Kazakhstan,5.809,1.173,1.508,0.7290000000000001,0.41,0.146,0.096,2717300.0,18276499,AS,6.725977624848195,48.019573,66.923684
61,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064,1098580.0,11353142,SA,10.334378925522037,-16.290154,-63.588653
62,Hungary,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081,0.02,93030.0,9768785,EU,105.00682575513275,47.162494,19.503304
63,Paraguay,5.742999999999999,0.855,1.475,0.777,0.514,0.184,0.08,406750.0,6956071,SA,17.10158819913952,-23.442503,-58.44383199999999
65,Peru,5.697,0.96,1.274,0.8540000000000001,0.455,0.083,0.027000000000000003,1285220.0,31989256,SA,24.890101305613047,-9.189967,-75.015152
66,Portugal,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047,0.025,92391.0,10281762,EU,111.28531999870117,39.399871999999995,-8.224454
67,Pakistan,5.653,0.677,0.8859999999999999,0.535,0.313,0.22,0.098,803940.0,212215030,AS,263.9687414483668,30.375321000000003,69.345116
68,Russia,5.648,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999,0.031,17100000.0,144478050,EU,8.449008771929824,61.52401,105.31875600000001
69,Philippines,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999,0.107,300000.0,106651922,AS,355.5064066666667,12.879721,121.77401699999999
70,Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998,0.039,88361.0,6982084,EU,79.01771143377735,44.016521000000004,21.005859
